SampleID	SeqProject	LCSETMax	ReadgroupsAggregated	GENDER	ANCESTRY	SeqTech	LibTech	Mean_Coverage	Contamination_Estimation	Percent_Chimeric_Reads	Median_Insert_Size	Standard_Deviation_Insert_Size	Percent_lt_30bp_frags	nEvalVariants	novelSites	nVariantsAtComp	nInsertions	nDeletions	InsDelRatio	nSingletons	nHets	nHomRef	nHomVar	HetHomeRatio	nTi	nTv	TiTvRatio	index	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	inferredAncestry	nEvalVariantsZscore	novelSitesZscore	nVariantsAtCompZscore	nInsertionsZscore	nDeletionsZscore	InsDelRatioZscore	nSingletonsZscore	nHetsZscore	nHomRefZscore	nHomVarZscore	HetHomeRatioZscore	nTiZscore	nTvZscore	TiTvRatioZscore	ANCESTRY-SeqTech	maxVcfzscore	flaggedReason
Sample-159	G72990	LCSET-5895	10	Female	White	HiSeqX	SAGE	40.093	0	0.002882	317	126.127	0.0701834	4128134	384556	3743578	194934	219833	0.89	25464	2781256	34192997	1346878	2.06	2115669	1125465	1.88	159	0.0099	0.0094	-0.004	-0.017	0.017	-0.0201	0.0239	0.0246	-0.0054	-0.0206	-0.0491	0.0017	-0.0187	-0.0065	0.0033	0.0062	-0.021	0.0214	0.0083	0.0451	EUR	6.608	2.983	7.261	4.538	4.945	0.674	8.452	7.085	6.603	3.443	6.576	9.559	8.651	0.674	White-HiSeqX	9.559	nTvZscore>=4,nTiZscore>=4,HetHomeRatioZscore>=4,nHomRefZscore>=4,nHetsZscore>=4,nSingletonsZscore>=4,nDeletionsZscore>=4,nInsertionsZscore>=4,nVariantsAtCompZscore>=4,nEvalVariantsZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-160	G72990	LCSET-5895	9	Male	White	HiSeqX	SAGE	40.873	0	0.003735	422	97.01	0.041021	3875040	359788	3515252	184918	204422	0.9	16227	2450374	34433441	1424666	1.72	1969190	1050349	1.87	160	0.0171	0.0089	-0.003	0.0141	-0.037	5e-04	0.0223	0.0131	-0.0162	0.0163	-0.0012	0.0043	-0.0027	0.0161	0.0202	-0.0029	-0.0077	-0.079	0.0011	0.0268	EUR	1.508	1.578	1.24	1.363	0.923	0	1.412	1.276	0.767	0.087	0.843	0.372	1.011	1.349	White-HiSeqX	1.578	Percent_lt_30bp_frags>=0.01,
Sample-161	G72990	LCSET-5895	9	Female	White	HiSeqX	SAGE	38.085	2e-05	0.003616	291	131.605	0.0798873	3917864	367419	3550445	186901	208959	0.89	13903	2516796	34410778	1401068	1.8	1991263	1063806	1.87	161	0.0173	0.0081	-0.0171	0.0039	-0.0109	0.0908	0.0155	-0.0085	0.0151	0.0255	0.0089	0.0099	0.0355	-0.0117	-0.0226	-0.0356	0.0448	-0.0459	-0.034	-0.0239	EUR	2.371	2.011	2.168	1.992	2.107	0.674	0.359	2.442	1.317	1.105	2.192	1.756	2.38	1.349	White-HiSeqX	2.442	Percent_lt_30bp_frags>=0.01,
Sample-162	G72990	LCSET-5895	9	Male	White	HiSeqX	SAGE	43.987	0	0.003781	427	99.211	0.0389156	3860537	357312	3503225	185565	202873	0.91	13210	2425194	34450599	1435343	1.69	1956328	1042499	1.88	162	0.0178	0.0093	-0.013	-0.0254	-0.0168	0.0081	-0.0226	-0.0117	0.0039	0.0311	-0.0018	0.0106	-0.0305	0.0433	0.0169	-0.0051	0.0366	0.023	0.0178	-0.0077	EUR	1.216	1.437	0.923	1.568	0.519	0.674	0.887	0.834	0.351	0.374	0.337	0.435	0.213	0.674	White-HiSeqX	1.568	Percent_lt_30bp_frags>=0.01,
Sample-163	G72990	LCSET-5895	10	Male	White	HiSeqX	SAGE	40.473	0	0.003023	285	111.453	0.083605	3879292	364761	3514531	185283	207113	0.89	13982	2446760	34452241	1432532	1.71	1967362	1053731	1.87	163	0.0184	0.0092	0.012	-0.0187	0.0243	-0.0255	-7e-04	0.0163	-0.0193	0.0287	-0.0156	0.0323	-0.0032	-0.0457	-0.0041	0.0181	-0.0163	-0.0427	-0.0055	8e-04	EUR	1.594	1.86	1.221	1.479	1.626	0.674	0.299	1.212	0.311	0.253	0.674	0.257	1.355	1.349	White-HiSeqX	1.86	Percent_lt_30bp_frags>=0.01,
Sample-164	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	31.742	0	0.009374	433	91.901	0.0044259	3792546	331241	3461305	179620	201471	0.89	12879	2358043	34471361	1434503	1.64	1949033	1035913	1.88	164	0.0184	0.0104	-0.0059	-0.0124	-0.0355	-0.0305	0.0155	0.0124	-0.0343	0.0102	0.0208	-0.0584	0.0219	0.008	0.0045	0.0037	0.0108	-0.0248	0.0154	0.001	EUR	0.326	0.562	0.269	0.315	0.634	0.674	1.087	0.144	0.159	0.384	0	0.88	0.191	1.349	NA-HiSeqX	1.349	
Sample-165	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.817	0	0.008761	421	90.16	0.0118439	3768469	324081	3444388	178279	200142	0.89	15420	2334360	34447987	1434109	1.63	1954575	1029627	1.9	165	0.0155	0.0068	-0.0124	0.003	0.0143	-0.0314	0.0066	0.0237	0.0067	-0.017	-0.0265	-0.0059	-0.0192	0.0199	-0.0196	-0.0032	0.008	-0.0405	-0.0643	-0.0129	EUR	0.096	0.171	0.119	0.069	0.364	0.674	0.56	0.206	0.353	0.37	0.135	0.59	0.788	0	NA-HiSeqX	0.788	Percent_lt_30bp_frags>=0.01,
Sample-166	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.349	0	0.009904	409	109.053	0.0545949	3732229	313508	3418721	175959	196090	0.9	14166	2288265	34511095	1443964	1.58	1959170	1031071	1.9	166	0.0206	0.0077	-0.0064	0.0041	0.0314	-0.0127	-0.0359	-0.0171	0.0232	0.0246	-0.0084	0.017	-3e-04	-0.0497	-0.0196	-0.0115	0.0039	-0.0309	-0.047	0.0587	EUR	0.731	0.407	0.708	0.734	0.457	0	0.253	0.889	0.171	0.719	0.809	0.35	0.651	0	NA-HiSeqX	0.889	Percent_lt_30bp_frags>=0.01,
Sample-167	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.253	0	0.005752	293	111.532	0.0771596	4421529	396093	4025436	202637	237725	0.85	50768	2963235	33807470	1458294	2.03	2341600	1225114	1.91	167	-0.0368	0.0169	-0.0022	-0.0023	0.0147	-9e-04	0.0011	-0.0119	0.0081	0.0282	-0.0254	0.0155	-0.0114	0.0012	-0.014	-0.0168	-0.0123	-0.0059	0.0224	0.0287	AFR	11.345	4.106	13.213	6.91	7.981	3.372	23.463	9.109	5.675	1.226	5.261	19.657	17.767	0.674	NA-HiSeqX	23.463	nTvZscore>=4,nTiZscore>=4,HetHomeRatioZscore>=4,nHomRefZscore>=4,nHetsZscore>=4,nSingletonsZscore>=4,nDeletionsZscore>=4,nInsertionsZscore>=4,nVariantsAtCompZscore>=4,novelSitesZscore>=4,nEvalVariantsZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-168	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.316	0	0.007283	411	113.754	0.0556072	3728462	308625	3419837	176168	195843	0.9	13008	2284336	34499584	1444126	1.58	1947650	1027216	1.9	168	0.0176	0.0056	-0.0052	0.0011	-0.0244	0.0216	-0.0289	-0.0061	0.0251	0.0222	-0.0039	-0.0014	0.0482	-0.0399	0.0118	0.0445	0.0262	-0.0079	-0.0129	-8e-04	EUR	0.797	0.673	0.683	0.674	0.507	0	1.003	0.947	0.075	0.725	0.809	0.953	1.017	0	NA-HiSeqX	1.017	Percent_lt_30bp_frags>=0.01,
Sample-169	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.335	0	0.006224	384	105.402	0.0594167	4533445	421882	4111563	207689	247924	0.84	55683	3129359	33727804	1404086	2.23	2377323	1251789	1.9	169	-0.0303	0.0174	-0.0062	0.0035	-5e-04	-0.0089	0.003	-0.0068	-0.0168	0.0302	0.0013	-0.0359	-0.0188	-0.0115	-0.014	-0.0077	-0.0271	-0.0042	-0.027	6e-04	AFR	13.306	5.515	15.19	8.358	10.048	4.047	26.647	11.57	6.337	0.693	7.959	21.525	20.299	0	NA-HiSeqX	26.647	nTvZscore>=4,nTiZscore>=4,HetHomeRatioZscore>=4,nHomRefZscore>=4,nHetsZscore>=4,nSingletonsZscore>=4,InsDelRatioZscore>=4,nDeletionsZscore>=4,nInsertionsZscore>=4,nVariantsAtCompZscore>=4,novelSitesZscore>=4,nEvalVariantsZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-170	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.261	0	0.008973	403	97.435	0.0382502	3881882	337247	3544635	183351	205645	0.89	17789	2492612	34349364	1389270	1.79	2019632	1066582	1.89	170	0.0178	0.0095	-0.0057	-0.0275	-0.0059	0.002	-0.028	-0.0024	-0.0065	0.0252	0.0176	0.0401	-0.0042	-0.035	-0.0053	0.0332	0.0125	0.022	0.0117	0.0026	EUR	1.891	0.89	2.181	1.384	1.48	0.674	2.095	2.138	1.173	1.217	2.023	2.813	2.72	0.674	NA-HiSeqX	2.813	Percent_lt_30bp_frags>=0.01,
Sample-171	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	31.444	0	0.007038	414	104.079	0.0474493	3807525	334454	3473071	180312	201511	0.89	14783	2365161	34440296	1442364	1.64	1970025	1043520	1.89	171	0.0158	0.0077	-0.01	-0.0047	-0.0223	-0.0497	-0.0279	-0.0306	0.0092	-0.0154	0.0263	-0.0171	-0.0425	0.0011	1e-04	0.0261	-0.014	-0.0166	0.0284	-0.0193	EUR	0.588	0.738	0.539	0.513	0.642	0.674	0.147	0.25	0.417	0.662	0	0.218	0.531	0.674	NA-HiSeqX	0.738	Percent_lt_30bp_frags>=0.01,
Sample-172	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.503	0.00031	0.0093	391	117.613	0.0622785	4555535	425901	4129634	208708	247240	0.84	58977	3047662	33683865	1507873	2.02	2394088	1258140	1.9	172	-0.0409	0.0227	-0.0062	-0.0079	-0.0207	0.0091	-0.0113	-0.0026	-0.0293	-0.0056	0.0032	0.0166	-0.0083	-0.0062	-0.0025	0.0065	-0.0036	0.0167	-0.006	-0.0035	AFR	13.693	5.734	15.604	8.65	9.91	4.047	28.782	10.36	6.702	2.981	5.126	22.403	20.902	0	NA-HiSeqX	28.782	nTvZscore>=4,nTiZscore>=4,HetHomeRatioZscore>=4,nHomRefZscore>=4,nHetsZscore>=4,nSingletonsZscore>=4,InsDelRatioZscore>=4,nDeletionsZscore>=4,nInsertionsZscore>=4,nVariantsAtCompZscore>=4,novelSitesZscore>=4,nEvalVariantsZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-173	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.124	0	0.006888	406	107.726	0.0524373	3690455	304898	3385557	173506	193042	0.9	13828	2257405	34539973	1433050	1.58	1945507	1021466	1.9	173	0.0186	0.0125	-0.0126	0.0169	0.0147	0.0396	-0.0257	-0.0446	0.0312	-0.0186	-0.0073	-0.0221	0.035	-0.0066	-0.0116	0.0247	0.0018	0.0332	0.0147	0.0121	EUR	1.463	0.877	1.469	1.437	1.075	0	0.472	1.346	0.411	0.332	0.809	1.065	1.563	0	NA-HiSeqX	1.563	Percent_lt_30bp_frags>=0.01,
Sample-174	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.615	0.0085	0.008618	425	115.551	0.0564873	3800647	324636	3476011	178467	199942	0.89	30581	2319734	34409688	1480913	1.57	1986172	1046259	1.9	174	5e-04	-0.0182	0.116	-0.0022	0.0272	0.0024	-0.019	-0.0198	0.0239	0.0236	-0.0327	-0.0043	0.0049	-0.0268	0.0055	0.0169	0.0095	-0.0153	-3e-04	0.0126	AMR	0.468	0.201	0.606	0.015	0.324	0.674	10.383	0.423	0.672	2.027	0.944	1.063	0.791	0	NA-HiSeqX	10.383	nSingletonsZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-175	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	30.638	0	0.008183	378	116.011	0.0615935	3839228	351781	3487447	182052	203960	0.89	23002	2395447	34442306	1443781	1.66	1981971	1051157	1.89	175	0.0152	0.0098	-0.0136	0.0605	0.0319	-0.0076	-0.0032	0.0305	0.0407	-0.0187	0.0042	0.0212	-0.021	0.0079	-0.0321	-0.0472	-0.0364	0.0031	0.0294	0.0568	EUR	1.144	1.685	0.869	1.012	1.138	0.674	5.472	0.698	0.401	0.712	0.27	0.843	1.256	0.674	NA-HiSeqX	5.472	nSingletonsZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-176	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	27.759	0	0.009277	404	104.654	0.0433363	3788169	315956	3472213	179701	198798	0.9	14789	2384322	34474342	1403847	1.7	1977319	1041851	1.9	176	0.0178	0.0113	-0.0101	0.0037	-0.0173	0.0319	-0.0339	-0.0035	0.0053	0.0273	-0.0319	0.0017	-0.0146	0.0559	-0.0075	-0.0294	0.0238	0.0118	-7e-04	-0.0253	EUR	0.249	0.273	0.519	0.338	0.092	0	0.151	0.534	0.134	0.701	0.809	0.599	0.372	0	NA-HiSeqX	0.809	Percent_lt_30bp_frags>=0.01,
Sample-177	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	26.456	0.00473	0.006599	412	111.498	0.0552412	3673558	280274	3393284	172057	189242	0.91	13704	2256650	34528050	1416908	1.59	1956676	1021003	1.92	177	0.0186	0.0095	0.0017	-0.0174	0.0056	0.0016	0.0125	0.0147	-0.0152	0.014	0.0037	0.0272	-0.0423	0.0071	0.0025	0.043	0.0092	-0.0604	-0.0053	-0.0042	EUR	1.759	2.222	1.292	1.852	1.845	0.674	0.552	1.358	0.312	0.239	0.674	0.48	1.607	1.349	NA-HiSeqX	2.222	Percent_lt_30bp_frags>=0.01,
Sample-178	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	31.058	0	0.00744	411	96.894	0.0333477	3777305	325408	3451897	179702	199926	0.9	12730	2340514	34473270	1436791	1.63	1950901	1034063	1.89	178	0.0202	0.0084	-0.0028	-6e-04	-0.0486	-0.0225	-0.0151	0.0052	0.0102	0.0218	0.034	-0.0193	0.0323	-0.0873	-0.0091	-0.0197	0.0246	0.0254	-0.0244	-0.0496	EUR	0.059	0.244	0.053	0.339	0.32	0	1.183	0.115	0.143	0.465	0.135	0.783	0.367	0.674	NA-HiSeqX	1.183	Percent_lt_30bp_frags>=0.01,
Sample-179	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.527	0	0.008917	429	99.411	0.0374357	3774507	326561	3447946	178703	198871	0.9	13638	2325767	34460567	1448740	1.61	1952849	1032652	1.89	179	0.0187	0.0111	-0.0108	-0.0299	3e-04	-0.0076	-0.0335	-0.0144	-0.0237	0.0415	-0.0357	0.0118	0.0348	0.0302	-0.0139	-0.007	0.0205	0.0506	0.0093	0.0061	EUR	0.01	0.307	0.038	0.052	0.107	0	0.595	0.334	0.249	0.888	0.405	0.681	0.501	0.674	NA-HiSeqX	0.888	Percent_lt_30bp_frags>=0.01,
Sample-180	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.891	0.00816	0.010499	431	103.227	0.0386804	3827678	330344	3497334	181700	202773	0.9	16702	2444620	34415978	1383058	1.77	1979172	1046204	1.89	180	0.0192	0.0093	-0.0039	0.0144	0.0376	-0.014	0.012	0.0311	-0.0079	-0.0035	-0.0291	0.0189	-0.0093	-0.0179	-0.025	0.066	-0.0098	-0.032	0.0601	0.0083	EUR	0.941	0.513	1.096	0.911	0.897	0	1.39	1.427	0.619	1.437	1.754	0.696	0.785	0.674	NA-HiSeqX	1.754	Percent_lt_30bp_frags>=0.01,
Sample-181	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	26.655	0	0.009341	395	100.073	0.0487378	3753679	308304	3445375	176635	197234	0.9	14250	2348221	34473428	1405458	1.67	1970497	1036626	1.9	181	0.0213	0.0107	-0.015	-0.0239	0.0023	-0.0023	0.0074	0.0082	0.0029	0.0463	-0.0293	0.0308	-0.0045	-0.0169	-0.0172	-0.0215	-0.0089	-0.0222	-0.0289	0.0318	EUR	0.355	0.691	0.097	0.54	0.225	0	0.198	0.001	0.142	0.644	0.405	0.243	0.124	0	NA-HiSeqX	0.691	Percent_lt_30bp_frags>=0.01,
Sample-182	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	33.487	0	0.01026	477	97.786	0.0040389	3772048	327942	3444106	179002	199415	0.9	14282	2322596	34475746	1449452	1.6	1946874	1029435	1.89	182	0.0192	0.0083	-0.0016	-0.0254	0.0345	-0.0434	-0.0043	0.0196	0.0261	-0.0134	-0.0224	-0.0053	0.0586	0.0162	-0.041	0.0652	0.0016	0.0182	0.0027	0.0309	EUR	0.033	0.382	0.126	0.138	0.217	0	0.178	0.381	0.123	0.913	0.54	0.993	0.806	0.674	NA-HiSeqX	0.993	
Sample-183	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.1	0.00599	0.008412	405	107.712	0.0463967	3779193	318446	3460747	177614	200543	0.89	15610	2397494	34476065	1381699	1.74	1983699	1043576	1.9	183	0.0184	0.0113	-0.0076	0.0156	0.0033	-0.05	0.0159	0.0103	-6e-04	-0.0198	-0.0035	0.0153	-0.0173	-0.005	0.0043	0.0207	0.0553	-0.0107	-0.0314	-0.0385	EUR	0.092	0.137	0.256	0.26	0.445	0.674	0.683	0.729	0.12	1.486	1.349	0.933	0.536	0	NA-HiSeqX	1.486	Percent_lt_30bp_frags>=0.01,
Sample-184	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	26.534	0	0.008814	411	97.282	0.0285253	3757351	315217	3442134	178255	198318	0.9	14086	2314097	34490521	1443254	1.6	1951118	1031626	1.89	184	0.0185	0.0102	-0.0176	0.0062	0.0119	-0.0158	-0.0327	-0.0097	0.0297	-0.0461	0.03	0.0061	0.0193	-0.0368	-0.0239	0.0355	-0.0255	-0.0122	-0.0049	-0.0049	EUR	0.291	0.313	0.171	0.076	0.005	0	0.305	0.507	0	0.694	0.54	0.771	0.598	0.674	NA-HiSeqX	0.771	Percent_lt_30bp_frags>=0.01,
Sample-185	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	25.435	0	0.007899	424	97.894	0.0298218	4327425	361060	3966365	196760	230808	0.85	53812	2946315	33863509	1381110	2.13	2324193	1207690	1.92	185	-0.0432	0.0187	-0.0049	-0.0056	0.0092	0.0058	-0.0272	-0.0439	0.0062	0.0428	0.0014	-0.0289	-0.0169	0.0134	0.0166	0.0115	-0.0022	-0.0194	0.002	0.0026	AFR	9.696	2.192	11.858	5.226	6.579	3.372	25.435	8.859	5.209	1.506	6.61	18.746	16.113	1.349	NA-HiSeqX	25.435	nTvZscore>=4,nTiZscore>=4,HetHomeRatioZscore>=4,nHomRefZscore>=4,nHetsZscore>=4,nSingletonsZscore>=4,nDeletionsZscore>=4,nInsertionsZscore>=4,nVariantsAtCompZscore>=4,nEvalVariantsZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-186	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	31.448	0	0.007814	433	76.654	0.0042747	3772399	315828	3456571	177803	198780	0.89	14918	2363879	34477354	1408520	1.68	1969582	1037929	1.9	186	0.0175	0.0073	-0.0079	-0.0169	0.0026	0.0181	-0.0067	0.0188	0.0438	-0.0096	0.0052	0.0078	-0.0221	-0.0179	-0.0272	0.0213	-0.0318	-0.0258	-0.0248	0.0037	EUR	0.027	0.28	0.16	0.205	0.088	0.674	0.235	0.231	0.109	0.536	0.54	0.195	0	0	NA-HiSeqX	0.674	
Sample-187	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.747	0	0.008672	427	102.166	0.0375744	3805679	331392	3474287	181002	202275	0.89	13999	2368158	34452389	1437521	1.65	1955141	1038878	1.88	187	0.0196	0.0115	-0.0084	0.0104	0.0108	0.0173	0.0284	-0.0332	-0.0281	-0.0124	0.0601	-0.0241	0.0023	-0.0116	0.0349	0.0153	-0.0159	-5e-04	0.0537	0.0219	EUR	0.556	0.571	0.567	0.711	0.796	0.674	0.361	0.294	0.317	0.491	0.135	0.561	0.09	1.349	NA-HiSeqX	1.349	Percent_lt_30bp_frags>=0.01,
Sample-188	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	30.435	0	0.009418	418	67.511	0.0033621	3806544	320949	3485595	179176	202154	0.89	23098	2392132	34440396	1414412	1.69	1988254	1046815	1.9	188	0.0132	0.0013	0.0227	0.0132	0.0071	2e-04	0.0294	-0.0462	0.0724	-0.0082	0.0021	0.0298	-0.0148	-0.0397	0.0026	0.0476	-0.0141	-0.0504	-0.0302	-0.0141	AMR	0.571	0	0.826	0.188	0.772	0.674	5.535	0.649	0.416	0.327	0.674	1.172	0.843	0	NA-HiSeqX	5.535	nSingletonsZscore>=4,
Sample-189	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	31.592	0	0.007967	427	82.571	0.0042532	3781612	325411	3456201	180070	200433	0.9	13549	2345676	34485806	1435936	1.63	1950631	1032985	1.89	189	0.0168	0.0113	-0.0072	-0.005	0.0021	-0.0358	0.0042	0.0152	0.0255	0.0026	-0.0095	-0.0047	0.0206	0.0124	0.0099	0.0255	5e-04	-0.0552	-0.0309	0.0356	EUR	0.134	0.244	0.152	0.444	0.423	0	0.652	0.039	0.039	0.435	0.135	0.797	0.469	0.674	NA-HiSeqX	0.797	
Sample-190	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	31.045	0	0.008209	398	95.158	0.0468151	3787806	330864	3456942	179896	199511	0.9	15572	2348297	34461041	1439509	1.63	1959570	1036119	1.89	190	0.0168	0.0113	-0.0147	0.0025	-0.0177	-0.0042	0.0121	0.0234	0.0227	-0.0118	0.0031	0.0102	-0.0097	0.0242	-0.0359	-0.006	0.0139	-0.0451	-0.0346	0.0152	EUR	0.243	0.542	0.169	0.394	0.236	0	0.658	0	0.245	0.561	0.135	0.329	0.172	0.674	NA-HiSeqX	0.674	Percent_lt_30bp_frags>=0.01,
Sample-191	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	26.51	0	0.004304	310	121.86	0.1545489	3732417	312316	3420101	175103	196728	0.89	14065	2301236	34502153	1431181	1.61	1949827	1027046	1.9	191	0.02	0.0094	-0.0073	-0.0047	-0.0124	-0.0199	-2e-04	0.0293	-0.0418	-0.0177	8e-04	-0.0224	0.0113	0.0358	0.0484	-0.0035	-0.0075	0.0113	-0.0127	0.0271	EUR	0.727	0.472	0.676	0.979	0.328	0.674	0.318	0.697	0.097	0.266	0.405	0.839	1.033	0	NA-HiSeqX	1.033	Percent_lt_30bp_frags>=0.01,
Sample-192	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.453	0	0.007454	413	105.793	0.0519344	3808329	336545	3471784	181034	202240	0.9	14432	2367502	34476521	1440827	1.64	1965057	1042473	1.88	192	0.0179	0.0108	-0.0016	0.0013	0.045	-0.0168	-0.0382	-0.0398	0.0191	0.002	-0.0236	0.0265	-0.0328	-0.0575	0.0039	-0.0123	-0.0352	-0.0043	0.0494	-0.0103	EUR	0.602	0.852	0.509	0.72	0.789	0	0.08	0.284	0.116	0.608	0	0.042	0.431	1.349	NA-HiSeqX	1.349	Percent_lt_30bp_frags>=0.01,
Sample-193	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.081	0	0.009569	416	80.208	0.0036146	4029672	347100	3682572	189333	214616	0.88	36013	2679648	34224558	1350024	1.98	2089918	1101978	1.9	193	-0.0031	-0.0012	-0.0192	-0.0072	-0.0059	0.0388	-0.0042	0.0152	0.0115	0.0193	-0.0095	-0.0292	-0.0109	-0.0078	0.0069	-0.0041	0.016	-0.0016	-0.0494	0.0155	EUR	4.48	1.429	5.346	3.098	3.298	1.349	13.903	4.908	2.21	2.607	4.587	6.49	6.079	0	NA-HiSeqX	13.903	nTvZscore>=4,nTiZscore>=4,HetHomeRatioZscore>=4,nHetsZscore>=4,nSingletonsZscore>=4,nVariantsAtCompZscore>=4,nEvalVariantsZscore>=4,
Sample-194	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	29.015	0	0.010046	402	121.127	0.2447115	3795562	333842	3461720	179926	201617	0.89	13075	2344718	34440148	1450844	1.62	1961180	1040303	1.89	194	0.0204	0.0094	-8e-04	-0.0055	-0.0132	-0.0209	0.0019	0.0222	9e-04	0.0674	0.015	0.0526	-0.0557	0.0447	0.0304	0.011	0.0293	-0.0324	-0.0338	-0.0508	EUR	0.379	0.704	0.279	0.403	0.663	0.674	0.96	0.053	0.418	0.962	0.27	0.245	0.225	0.674	NA-HiSeqX	0.962	Percent_lt_30bp_frags>=0.01,
Sample-195	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	28.293	0	0.010369	330	122.916	0.0679351	3779114	331707	3447407	177937	200910	0.89	13481	2359488	34437342	1419626	1.66	1957738	1036376	1.89	195	0.0184	0.0109	0.0017	-0.0085	0.0452	0.0032	0.0026	0.0305	-0.0256	0.0439	-0.0214	-0.0179	-0.0089	0.0168	-0.0076	-0.0048	0.0223	0.0107	-0.0187	-0.0393	EUR	0.091	0.588	0.05	0.167	0.52	0.674	0.697	0.166	0.442	0.143	0.27	0.425	0.147	0.674	NA-HiSeqX	0.697	Percent_lt_30bp_frags>=0.01,
Sample-196	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.135	0	0.009917	435	96.7	0.0047713	3789394	325654	3463740	180054	199749	0.9	12650	2352688	34462279	1436706	1.64	1951693	1034970	1.89	196	0.0196	0.01	-0.0101	-0.0331	0.017	7e-04	-0.0049	-0.0046	-0.0287	-0.0054	-0.0053	-0.0019	-0.0625	-1e-04	0.0486	0.0134	0.0155	-0.0137	0.0263	-0.0028	EUR	0.271	0.257	0.325	0.44	0.285	0	1.235	0.065	0.235	0.462	0	0.741	0.281	0.674	NA-HiSeqX	1.235	
Sample-197	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.308	0	0.008207	408	93.109	0.0271905	3822941	338988	3483953	181076	202967	0.89	14685	2422864	34423143	1400077	1.73	1971982	1044531	1.89	197	0.0195	0.0116	-0.008	-0.0018	-0.005	0.0478	0.036	-0.0148	0.0361	0.0145	-0.0596	8e-04	0.0044	-0.0174	-0.0357	0.0153	-0.0289	0.0162	-0.0462	0.0472	EUR	0.858	0.986	0.789	0.732	0.937	0.674	0.084	1.105	0.56	0.835	1.214	0.32	0.627	0.674	NA-HiSeqX	1.214	Percent_lt_30bp_frags>=0.01,
Sample-198	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE	32.844	0	0.009149	426	100.496	0.0277369	3874138	347089	3527049	183339	206959	0.89	29404	2390515	34388370	1483623	1.61	1994555	1059961	1.88	198	0.0051	-0.0141	0.1074	-0.0034	-0.0021	0.0382	0.0097	0.0178	0.0145	0.0154	-0.0035	-0.0055	-0.0423	-0.0342	7e-04	0.0385	-0.026	-0.0103	0.0089	-0.0081	AMR	1.755	1.428	1.778	1.381	1.746	0.674	9.62	0.625	0.849	2.123	0.405	1.501	2.091	1.349	NA-HiSeqX	9.62	nSingletonsZscore>=4,Percent_lt_30bp_frags>=0.01,
